EO #,Title,URL,Date Signed,Date Published,FR Citation,FR Doc Number
EO 14244,Addressing Remedial Action by Paul Weiss,https://www.federalregister.gov/documents/2025/03/26/2025-05291/addressing-remedial-action-by-paul-weiss,2025-03-21,2025-03-26,90 FR 13685,2025-05291
EO 14243,"Stopping Waste, Fraud, and Abuse by Eliminating Information Silos",https://www.federalregister.gov/documents/2025/03/25/2025-05214/stopping-waste-fraud-and-abuse-by-eliminating-information-silos,2025-03-20,2025-03-25,90 FR 13681,2025-05214
EO 14242,"Improving Education Outcomes by Empowering Parents, States, and Communities",https://www.federalregister.gov/documents/2025/03/25/2025-05213/improving-education-outcomes-by-empowering-parents-states-and-communities,2025-03-20,2025-03-25,90 FR 13679,2025-05213
EO 14241,Immediate Measures To Increase American Mineral Production,https://www.federalregister.gov/documents/2025/03/25/2025-05212/immediate-measures-to-increase-american-mineral-production,2025-03-20,2025-03-25,90 FR 13673,2025-05212
EO 14240,Eliminating Waste and Saving Taxpayer Dollars by Consolidating Procurement,https://www.federalregister.gov/documents/2025/03/25/2025-05197/eliminating-waste-and-saving-taxpayer-dollars-by-consolidating-procurement,2025-03-20,2025-03-25,90 FR 13671,2025-05197
EO 14239,Achieving Efficiency Through State and Local Preparedness,https://www.federalregister.gov/documents/2025/03/21/2025-04973/achieving-efficiency-through-state-and-local-preparedness,2025-03-18,2025-03-21,90 FR 13267,2025-04973
EO 14238,Continuing the Reduction of the Federal Bureaucracy,https://www.federalregister.gov/documents/2025/03/20/2025-04868/continuing-the-reduction-of-the-federal-bureaucracy,2025-03-14,2025-03-20,90 FR 13043,2025-04868
EO 14237,Addressing Risks From Paul Weiss,https://www.federalregister.gov/documents/2025/03/20/2025-04867/addressing-risks-from-paul-weiss,2025-03-14,2025-03-20,90 FR 13039,2025-04867
EO 14236,Additional Rescissions of Harmful Executive Orders and Actions,https://www.federalregister.gov/documents/2025/03/20/2025-04866/additional-rescissions-of-harmful-executive-orders-and-actions,2025-03-14,2025-03-20,90 FR 13037,2025-04866
EO 14235,Restoring Public Service Loan Forgiveness,https://www.federalregister.gov/documents/2025/03/12/2025-04103/restoring-public-service-loan-forgiveness,2025-03-07,2025-03-12,90 FR 11885,2025-04103
EO 14234,Establishing the White House Task Force on the FIFA World Cup 2026,https://www.federalregister.gov/documents/2025/03/12/2025-04102/establishing-the-white-house-task-force-on-the-fifa-world-cup-2026,2025-03-07,2025-03-12,90 FR 11883,2025-04102
EO 14233,Establishment of the Strategic Bitcoin Reserve and United States Digital Asset Stockpile,https://www.federalregister.gov/documents/2025/03/11/2025-03992/establishment-of-the-strategic-bitcoin-reserve-and-united-states-digital-asset-stockpile,2025-03-06,2025-03-11,90 FR 11789,2025-03992
EO 14232,Amendment to Duties To Address the Flow of Illicit Drugs Across Our Southern Border,https://www.federalregister.gov/documents/2025/03/11/2025-03991/amendment-to-duties-to-address-the-flow-of-illicit-drugs-across-our-southern-border,2025-03-06,2025-03-11,90 FR 11787,2025-03991
EO 14231,Amendment to Duties To Address the Flow of Illicit Drugs Across Our Northern Border,https://www.federalregister.gov/documents/2025/03/11/2025-03990/amendment-to-duties-to-address-the-flow-of-illicit-drugs-across-our-northern-border,2025-03-06,2025-03-11,90 FR 11785,2025-03990
EO 14230,Addressing Risks From Perkins Coie LLP,https://www.federalregister.gov/documents/2025/03/11/2025-03989/addressing-risks-from-perkins-coie-llp,2025-03-06,2025-03-11,90 FR 11781,2025-03989
EO 14229,Honoring Jocelyn Nungaray,https://www.federalregister.gov/documents/2025/03/10/2025-03869/honoring-jocelyn-nungaray,2025-03-04,2025-03-10,90 FR 11585,2025-03869
EO 14228,Further Amendment to Duties Addressing the Synthetic Opioid Supply Chain in the People's Republic of China,https://www.federalregister.gov/documents/2025/03/07/2025-03775/further-amendment-to-duties-addressing-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of,2025-03-03,2025-03-07,90 FR 11463,2025-03775
EO 14227,Amendment to Duties To Address the Situation at Our Southern Border,https://www.federalregister.gov/documents/2025/03/06/2025-03729/amendment-to-duties-to-address-the-situation-at-our-southern-border,2025-03-02,2025-03-06,90 FR 11371,2025-03729
EO 14226,Amendment to Duties To Address the Flow of Illicit Drugs Across Our Northern Border,https://www.federalregister.gov/documents/2025/03/06/2025-03728/amendment-to-duties-to-address-the-flow-of-illicit-drugs-across-our-northern-border,2025-03-02,2025-03-06,90 FR 11369,2025-03728
EO 14225,Immediate Expansion of American Timber Production,https://www.federalregister.gov/documents/2025/03/06/2025-03695/immediate-expansion-of-american-timber-production,2025-03-01,2025-03-06,90 FR 11365,2025-03695
EO 14224,Designating English as the Official Language of the United States,https://www.federalregister.gov/documents/2025/03/06/2025-03694/designating-english-as-the-official-language-of-the-united-states,2025-03-01,2025-03-06,90 FR 11363,2025-03694
EO 14223,"Addressing the Threat to National Security From Imports of Timber, Lumber, and Their Derivative Products",https://www.federalregister.gov/documents/2025/03/06/2025-03693/addressing-the-threat-to-national-security-from-imports-of-timber-lumber-and-their-derivative,2025-03-01,2025-03-06,90 FR 11359,2025-03693
EO 14222,"Implementing the President's ""Department of Government Efficiency"" Cost Efficiency Initiative",https://www.federalregister.gov/documents/2025/03/03/2025-03527/implementing-the-presidents-department-of-government-efficiency-cost-efficiency-initiative,2025-02-26,2025-03-03,90 FR 11095,2025-03527
EO 14221,"Making America Healthy Again by Empowering Patients With Clear, Accurate, and Actionable Healthcare Pricing Information",https://www.federalregister.gov/documents/2025/02/28/2025-03440/making-america-healthy-again-by-empowering-patients-with-clear-accurate-and-actionable-healthcare,2025-02-25,2025-02-28,90 FR 11005,2025-03440
EO 14220,Addressing the Threat to National Security From Imports of Copper,https://www.federalregister.gov/documents/2025/02/28/2025-03439/addressing-the-threat-to-national-security-from-imports-of-copper,2025-02-25,2025-02-28,90 FR 11001,2025-03439
EO 14219,"Ensuring Lawful Governance and Implementing the President's ""Department of Government Efficiency"" Deregulatory Initiative",https://www.federalregister.gov/documents/2025/02/25/2025-03138/ensuring-lawful-governance-and-implementing-the-presidents-department-of-government-efficiency,2025-02-19,2025-02-25,90 FR 10583,2025-03138
EO 14218,Ending Taxpayer Subsidization of Open Borders,https://www.federalregister.gov/documents/2025/02/25/2025-03137/ending-taxpayer-subsidization-of-open-borders,2025-02-19,2025-02-25,90 FR 10581,2025-03137
EO 14217,Commencing the Reduction of the Federal Bureaucracy,https://www.federalregister.gov/documents/2025/02/25/2025-03133/commencing-the-reduction-of-the-federal-bureaucracy,2025-02-19,2025-02-25,90 FR 10577,2025-03133
EO 14216,Expanding Access to In Vitro Fertilization,https://www.federalregister.gov/documents/2025/02/24/2025-03064/expanding-access-to-in-vitro-fertilization,2025-02-18,2025-02-24,90 FR 10451,2025-03064
EO 14215,Ensuring Accountability for All Agencies,https://www.federalregister.gov/documents/2025/02/24/2025-03063/ensuring-accountability-for-all-agencies,2025-02-18,2025-02-24,90 FR 10447,2025-03063
EO 14214,Keeping Education Accessible and Ending COVID-19 Vaccine Mandates in Schools,https://www.federalregister.gov/documents/2025/02/20/2025-02931/keeping-education-accessible-and-ending-covid-19-vaccine-mandates-in-schools,2025-02-14,2025-02-20,90 FR 9949,2025-02931
EO 14213,Establishing the National Energy Dominance Council,https://www.federalregister.gov/documents/2025/02/20/2025-02928/establishing-the-national-energy-dominance-council,2025-02-14,2025-02-20,90 FR 9945,2025-02928
EO 14212,Establishing the President's Make America Healthy Again Commission,https://www.federalregister.gov/documents/2025/02/19/2025-02871/establishing-the-presidents-make-america-healthy-again-commission,2025-02-13,2025-02-19,90 FR 9833,2025-02871
EO 14211,One Voice for America's Foreign Relations,https://www.federalregister.gov/documents/2025/02/18/2025-02841/one-voice-for-americas-foreign-relations,2025-02-12,2025-02-18,90 FR 9831,2025-02841
EO 14210,"Implementing the President's ""Department of Government Efficiency"" Workforce Optimization Initiative",https://www.federalregister.gov/documents/2025/02/14/2025-02762/implementing-the-presidents-department-of-government-efficiency-workforce-optimization-initiative,2025-02-11,2025-02-14,90 FR 9669,2025-02762
EO 14209,Pausing Foreign Corrupt Practices Act Enforcement To Further American Economic and National Security,https://www.federalregister.gov/documents/2025/02/14/2025-02736/pausing-foreign-corrupt-practices-act-enforcement-to-further-american-economic-and-national-security,2025-02-10,2025-02-14,90 FR 9587,2025-02736
